"","season_name","season","episode","title","day","challenge_type","winners","winning_tribe"
"56","Survivor: Winners at War",40,3,"Out for Blood",9,"reward","Sarah","Dakal"
"57","Survivor: Winners at War",40,3,"Out for Blood",9,"reward","Tony","Dakal"
"58","Survivor: Winners at War",40,3,"Out for Blood",9,"immunity","Tyson","Dakal"
"59","Survivor: Winners at War",40,3,"Out for Blood",9,"immunity","Sandra","Dakal"
"60","Survivor: Winners at War",40,3,"Out for Blood",9,"immunity","Yul","Dakal"
"61","Survivor: Winners at War",40,3,"Out for Blood",9,"immunity","Wendell","Dakal"
"62","Survivor: Winners at War",40,3,"Out for Blood",9,"immunity","Sophie","Dakal"
"63","Survivor: Winners at War",40,3,"Out for Blood",9,"immunity","Kim","Dakal"
"64","Survivor: Winners at War",40,3,"Out for Blood",9,"immunity","Nick","Dakal"
"65","Survivor: Winners at War",40,3,"Out for Blood",9,"immunity","Sarah","Dakal"
"66","Survivor: Winners at War",40,3,"Out for Blood",9,"immunity","Tony","Dakal"
"67","Survivor: Winners at War",40,4,"I Like Revenge",11,"reward","Rob","Sele"
"68","Survivor: Winners at War",40,4,"I Like Revenge",11,"reward","Parvati","Sele"
"69","Survivor: Winners at War",40,4,"I Like Revenge",11,"reward","Adam","Sele"
"70","Survivor: Winners at War",40,4,"I Like Revenge",11,"reward","Jeremy","Sele"
"71","Survivor: Winners at War",40,4,"I Like Revenge",11,"reward","Denise","Sele"
"72","Survivor: Winners at War",40,4,"I Like Revenge",11,"reward","Ben","Sele"
"73","Survivor: Winners at War",40,4,"I Like Revenge",11,"reward","Michele","Sele"
"74","Survivor: Winners at War",40,4,"I Like Revenge",11,"reward","Natalie","Sele"
"75","Survivor: Winners at War",40,4,"I Like Revenge",11,"immunity","Rob","Sele"
"76","Survivor: Winners at War",40,4,"I Like Revenge",11,"immunity","Parvati","Sele"
"77","Survivor: Winners at War",40,4,"I Like Revenge",11,"immunity","Adam","Sele"
"78","Survivor: Winners at War",40,4,"I Like Revenge",11,"immunity","Jeremy","Sele"
"79","Survivor: Winners at War",40,4,"I Like Revenge",11,"immunity","Denise","Sele"
"80","Survivor: Winners at War",40,4,"I Like Revenge",11,"immunity","Ben","Sele"
"81","Survivor: Winners at War",40,4,"I Like Revenge",11,"immunity","Michele","Sele"
"82","Survivor: Winners at War",40,4,"I Like Revenge",11,"immunity","Natalie","Sele"
"83","Survivor: Winners at War",40,5,"The Buddy System on Steroids",14,"immunity","Parvati","Sele"
"84","Survivor: Winners at War",40,5,"The Buddy System on Steroids",14,"immunity","Yul","Sele"
"85","Survivor: Winners at War",40,5,"The Buddy System on Steroids",14,"immunity","Wendell","Sele"
"86","Survivor: Winners at War",40,5,"The Buddy System on Steroids",14,"immunity","Nick","Sele"
"87","Survivor: Winners at War",40,5,"The Buddy System on Steroids",14,"immunity","Michele","Sele"
"88","Survivor: Winners at War",40,5,"The Buddy System on Steroids",14,"immunity","Sandra","Dakal"
"89","Survivor: Winners at War",40,5,"The Buddy System on Steroids",14,"immunity","Kim","Dakal"
"90","Survivor: Winners at War",40,5,"The Buddy System on Steroids",14,"immunity","Jeremy","Dakal"
"91","Survivor: Winners at War",40,5,"The Buddy System on Steroids",14,"immunity","Denise","Dakal"
"92","Survivor: Winners at War",40,5,"The Buddy System on Steroids",14,"immunity","Tony","Dakal"
"93","Survivor: Winners at War",40,6,"Quick on the Draw",16,"reward","Adam","Yara"
"94","Survivor: Winners at War",40,6,"Quick on the Draw",16,"reward","Sophie","Yara"
"95","Survivor: Winners at War",40,6,"Quick on the Draw",16,"reward","Ben","Yara"
"96","Survivor: Winners at War",40,6,"Quick on the Draw",16,"reward","Sarah","Yara"
"97","Survivor: Winners at War",40,6,"Quick on the Draw",16,"reward","Adam","Yara"
"98","Survivor: Winners at War",40,6,"Quick on the Draw",16,"reward","Sophie","Yara"
"99","Survivor: Winners at War",40,6,"Quick on the Draw",16,"reward","Ben","Yara"
"100","Survivor: Winners at War",40,6,"Quick on the Draw",16,"reward","Sarah","Yara"
"101","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Adam","Yara"
"102","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Sophie","Yara"
"103","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Ben","Yara"
"104","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Sarah","Yara"
"105","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Adam","Yara"
"106","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Sophie","Yara"
"107","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Ben","Yara"
"108","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Sarah","Yara"
"109","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Adam","Yara"
"110","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Sophie","Yara"
"111","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Ben","Yara"
"112","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Sarah","Yara"
"113","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Adam","Yara"
"114","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Sophie","Yara"
"115","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Ben","Yara"
"116","Survivor: Winners at War",40,6,"Quick on the Draw",16,"immunity","Sarah","Yara"
"117","Survivor: Winners at War",40,7,"We're in the Majors",18,"reward","Adam","Yara"
"118","Survivor: Winners at War",40,7,"We're in the Majors",18,"reward","Sophie","Yara"
"119","Survivor: Winners at War",40,7,"We're in the Majors",18,"reward","Ben","Yara"
"120","Survivor: Winners at War",40,7,"We're in the Majors",18,"reward","Sarah","Yara"
"121","Survivor: Winners at War",40,7,"We're in the Majors",18,"reward","Yul","Sele"
"122","Survivor: Winners at War",40,7,"We're in the Majors",18,"reward","Wendell","Sele"
"123","Survivor: Winners at War",40,7,"We're in the Majors",18,"reward","Nick","Sele"
"124","Survivor: Winners at War",40,7,"We're in the Majors",18,"reward","Michele","Sele"
"125","Survivor: Winners at War",40,7,"We're in the Majors",18,"immunity","Adam","Yara"
"126","Survivor: Winners at War",40,7,"We're in the Majors",18,"immunity","Sophie","Yara"
"127","Survivor: Winners at War",40,7,"We're in the Majors",18,"immunity","Ben","Yara"
"128","Survivor: Winners at War",40,7,"We're in the Majors",18,"immunity","Sarah","Yara"
"129","Survivor: Winners at War",40,7,"We're in the Majors",18,"immunity","Kim","Dakal"
"130","Survivor: Winners at War",40,7,"We're in the Majors",18,"immunity","Jeremy","Dakal"
"131","Survivor: Winners at War",40,7,"We're in the Majors",18,"immunity","Denise","Dakal"
"132","Survivor: Winners at War",40,7,"We're in the Majors",18,"immunity","Tony","Dakal"
"133","Survivor: Winners at War",40,8,"This is Where the Battle Begins",21,"reward","Tyson",NA
"134","Survivor: Winners at War",40,8,"This is Where the Battle Begins",21,"immunity","Denise",NA
"135","Survivor: Winners at War",40,8,"This is Where the Battle Begins",21,"immunity","Jeremy",NA
"136","Survivor: Winners at War",40,9,"War is Not Pretty",23,"reward","Ben",NA
"137","Survivor: Winners at War",40,9,"War is Not Pretty",23,"reward","Kim",NA
"138","Survivor: Winners at War",40,9,"War is Not Pretty",23,"reward","Michele",NA
"139","Survivor: Winners at War",40,9,"War is Not Pretty",23,"reward","Sarah",NA
"140","Survivor: Winners at War",40,9,"War is Not Pretty",23,"reward","Sophie",NA
"141","Survivor: Winners at War",40,9,"War is Not Pretty",23,"reward","Nick",NA
"142","Survivor: Winners at War",40,9,"War is Not Pretty",23,"immunity","Kim",NA
"143","Survivor: Winners at War",40,10,"The Full Circle",25,"immunity","Tony",NA
"144","Survivor: Winners at War",40,11,"This is Extortion",28,"reward","Ben",NA
"145","Survivor: Winners at War",40,11,"This is Extortion",28,"reward","Kim",NA
"146","Survivor: Winners at War",40,11,"This is Extortion",28,"reward","Sophie",NA
"147","Survivor: Winners at War",40,11,"This is Extortion",28,"immunity","Tony",NA
"148","Survivor: Winners at War",40,12,"Friendly Fire",29,"immunity","Denise",NA
"149","Survivor: Winners at War",40,12,"Friendly Fire",29,"immunity","Tony",NA
"150","Survivor: Winners at War",40,13,"The Penultimate Step of the War",31,"immunity","Nick",NA
"151","Survivor: Winners at War",40,13,"The Penultimate Step of the War",34,"immunity","Michele",NA
"152","Survivor: Winners at War",40,14,"It All Boils Down to This",36,"reward","Natalie",NA
"153","Survivor: Winners at War",40,14,"It All Boils Down to This",36,"reward","Michele",NA
"154","Survivor: Winners at War",40,14,"It All Boils Down to This",36,"reward","Denise",NA
"155","Survivor: Winners at War",40,14,"It All Boils Down to This",36,"reward","Sarah",NA
"156","Survivor: Winners at War",40,14,"It All Boils Down to This",36,"immunity","Michele",NA
"157","Survivor: Winners at War",40,14,"It All Boils Down to This",37,"immunity","Tony",NA
"158","Survivor: Winners at War",40,14,"It All Boils Down to This",38,"immunity","Natalie",NA
"159","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"reward","Molly","Vokai"
"160","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"reward","Jason","Vokai"
"161","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"reward","Jack","Vokai"
"162","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"reward","Kellee","Vokai"
"163","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"reward","Jamal","Vokai"
"164","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"reward","Dan","Vokai"
"165","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"reward","Janet","Vokai"
"166","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"reward","Lauren","Vokai"
"167","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"reward","Noura","Vokai"
"168","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"reward","Tommy","Vokai"
"169","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"immunity","Molly","Vokai"
"170","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"immunity","Jason","Vokai"
"171","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"immunity","Jack","Vokai"
"172","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"immunity","Kellee","Vokai"
"173","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"immunity","Jamal","Vokai"
"174","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"immunity","Dan","Vokai"
"175","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"immunity","Janet","Vokai"
"176","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"immunity","Lauren","Vokai"
"177","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"immunity","Noura","Vokai"
"178","Survivor: Island of the Idols",39,1,"I Vote You Out and That's It",3,"immunity","Tommy","Vokai"
"179","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"reward","Vince","Lairo"
"180","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"reward","Chelsea","Lairo"
"181","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"reward","Tom","Lairo"
"182","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"reward","Aaron","Lairo"
"183","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"reward","Missy","Lairo"
"184","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"reward","Elizabeth","Lairo"
"185","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"reward","Karishma","Lairo"
"186","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"reward","Elaine","Lairo"
"187","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"reward","Dean","Lairo"
"188","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"immunity","Vince","Lairo"
"189","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"immunity","Chelsea","Lairo"
"190","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"immunity","Tom","Lairo"
"191","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"immunity","Aaron","Lairo"
"192","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"immunity","Missy","Lairo"
"193","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"immunity","Elizabeth","Lairo"
"194","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"immunity","Karishma","Lairo"
"195","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"immunity","Elaine","Lairo"
"196","Survivor: Island of the Idols",39,2,"YOLO, Let's Play!",6,"immunity","Dean","Lairo"
"197","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"reward","Jason","Vokai"
"198","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"reward","Jack","Vokai"
"199","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"reward","Kellee","Vokai"
"200","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"reward","Jamal","Vokai"
"201","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"reward","Dan","Vokai"
"202","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"reward","Janet","Vokai"
"203","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"reward","Lauren","Vokai"
"204","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"reward","Noura","Vokai"
"205","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"reward","Tommy","Vokai"
"206","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"immunity","Jason","Vokai"
"207","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"immunity","Jack","Vokai"
"208","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"immunity","Kellee","Vokai"
"209","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"immunity","Jamal","Vokai"
"210","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"immunity","Dan","Vokai"
"211","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"immunity","Janet","Vokai"
"212","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"immunity","Lauren","Vokai"
"213","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"immunity","Noura","Vokai"
"214","Survivor: Island of the Idols",39,3,"Honesty Would Be Chill",8,"immunity","Tommy","Vokai"
"215","Survivor: Island of the Idols",39,4,"Plan Z",11,"reward","Jason","Vokai"
"216","Survivor: Island of the Idols",39,4,"Plan Z",11,"reward","Jack","Vokai"
"217","Survivor: Island of the Idols",39,4,"Plan Z",11,"reward","Kellee","Vokai"
"218","Survivor: Island of the Idols",39,4,"Plan Z",11,"reward","Jamal","Vokai"
"219","Survivor: Island of the Idols",39,4,"Plan Z",11,"reward","Dan","Vokai"
"220","Survivor: Island of the Idols",39,4,"Plan Z",11,"reward","Janet","Vokai"
"221","Survivor: Island of the Idols",39,4,"Plan Z",11,"reward","Lauren","Vokai"
"222","Survivor: Island of the Idols",39,4,"Plan Z",11,"reward","Noura","Vokai"
"223","Survivor: Island of the Idols",39,4,"Plan Z",11,"reward","Tommy","Vokai"
"224","Survivor: Island of the Idols",39,4,"Plan Z",11,"immunity","Jason","Vokai"
"225","Survivor: Island of the Idols",39,4,"Plan Z",11,"immunity","Jack","Vokai"
"226","Survivor: Island of the Idols",39,4,"Plan Z",11,"immunity","Kellee","Vokai"
"227","Survivor: Island of the Idols",39,4,"Plan Z",11,"immunity","Jamal","Vokai"
"228","Survivor: Island of the Idols",39,4,"Plan Z",11,"immunity","Dan","Vokai"
"229","Survivor: Island of the Idols",39,4,"Plan Z",11,"immunity","Janet","Vokai"
"230","Survivor: Island of the Idols",39,4,"Plan Z",11,"immunity","Lauren","Vokai"
"231","Survivor: Island of the Idols",39,4,"Plan Z",11,"immunity","Noura","Vokai"
"232","Survivor: Island of the Idols",39,4,"Plan Z",11,"immunity","Tommy","Vokai"
"233","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"reward","Jason","Vokai"
"234","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"reward","Aaron","Vokai"
"235","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"reward","Missy","Vokai"
"236","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"reward","Elizabeth","Vokai"
"237","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"reward","Elaine","Vokai"
"238","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"reward","Dan","Vokai"
"239","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"reward","Lauren","Vokai"
"240","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"reward","Tommy","Vokai"
"241","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"immunity","Jason","Vokai"
"242","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"immunity","Aaron","Vokai"
"243","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"immunity","Missy","Vokai"
"244","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"immunity","Elizabeth","Vokai"
"245","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"immunity","Elaine","Vokai"
"246","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"immunity","Dan","Vokai"
"247","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"immunity","Lauren","Vokai"
"248","Survivor: Island of the Idols",39,5,"Don't Bite the Hand That Feeds You",14,"immunity","Tommy","Vokai"
"249","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"reward","Jason","Vokai"
"250","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"reward","Aaron","Vokai"
"251","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"reward","Missy","Vokai"
"252","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"reward","Elizabeth","Vokai"
"253","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"reward","Elaine","Vokai"
"254","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"reward","Dan","Vokai"
"255","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"reward","Lauren","Vokai"
"256","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"reward","Tommy","Vokai"
"257","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"immunity","Jack","Lairo"
"258","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"immunity","Kellee","Lairo"
"259","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"immunity","Jamal","Lairo"
"260","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"immunity","Karishma","Lairo"
"261","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"immunity","Janet","Lairo"
"262","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"immunity","Noura","Lairo"
"263","Survivor: Island of the Idols",39,6,"Suck It Up Buttercup",16,"immunity","Dean","Lairo"
"264","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"reward","Aaron","Vokai"
"265","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"reward","Missy","Vokai"
"266","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"reward","Elizabeth","Vokai"
"267","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"reward","Elaine","Vokai"
"268","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"reward","Dan","Vokai"
"269","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"reward","Lauren","Vokai"
"270","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"reward","Tommy","Vokai"
"271","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"immunity","Aaron","Vokai"
"272","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"immunity","Missy","Vokai"
"273","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"immunity","Elizabeth","Vokai"
"274","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"immunity","Elaine","Vokai"
"275","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"immunity","Dan","Vokai"
"276","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"immunity","Lauren","Vokai"
"277","Survivor: Island of the Idols",39,7,"I Was Born at Night, But Not Last Night",19,"immunity","Tommy","Vokai"
"278","Survivor: Island of the Idols",39,8,"We Made It to the Merge!",22,"immunity","Aaron",NA
"279","Survivor: Island of the Idols",39,8,"We Made It to the Merge!",24,"immunity","Aaron",NA
"280","Survivor: Island of the Idols",39,9,"Two for the Price of One",27,"reward","Elaine",NA
"281","Survivor: Island of the Idols",39,9,"Two for the Price of One",27,"reward","Elizabeth",NA
"282","Survivor: Island of the Idols",39,9,"Two for the Price of One",27,"reward","Karishma",NA
"283","Survivor: Island of the Idols",39,9,"Two for the Price of One",27,"reward","Missy",NA
"284","Survivor: Island of the Idols",39,9,"Two for the Price of One",27,"reward","Tommy",NA
"285","Survivor: Island of the Idols",39,9,"Two for the Price of One",27,"immunity","Noura",NA
"286","Survivor: Island of the Idols",39,9,"Two for the Price of One",27,"immunity","Elaine",NA
"287","Survivor: Island of the Idols",39,10,"Bring on the Bacon",30,"immunity","Noura",NA
"288","Survivor: Island of the Idols",39,11,"A Very Simple Plan",32,"reward","Janet",NA
"289","Survivor: Island of the Idols",39,11,"A Very Simple Plan",32,"reward","Tommy",NA
"290","Survivor: Island of the Idols",39,11,"A Very Simple Plan",32,"reward","Dan",NA
"291","Survivor: Island of the Idols",39,11,"A Very Simple Plan",32,"reward","Lauren",NA
"292","Survivor: Island of the Idols",39,11,"A Very Simple Plan",32,"immunity","Lauren",NA
"293","Survivor: Island of the Idols",39,12,"Just Go For It",35,"reward","Tommy",NA
"294","Survivor: Island of the Idols",39,12,"Just Go For It",35,"reward","Dean",NA
"295","Survivor: Island of the Idols",39,12,"Just Go For It",35,"reward","Noura",NA
"296","Survivor: Island of the Idols",39,12,"Just Go For It",35,"immunity","Dean",NA
